75,9588172528683
63,2619505780847
110,703543535638
123,178009030087
138,485333184953
140,276493063992
125,361057545482
12,3092483138076
128,933217741232
13,701969410956
138,189959429452
74,3508221729295
12,4673801864142
117,471171516664
98,6095459488374
88,3901394888724
84,9578959811955
89,2060073439662
121,60363606586
18,8322710816336
123,691434607712
117,529259582768
147,519920026728
123,657134712854
138,475625575535
58,6850501990842
60,561742802549
48,864121150639
126,524963980246
47,1437734923627
124,249475690079
29,4580322122379
73,4235767840128
110,867284767486
7,92953008338173
135,768353871298
21,0322520586757
30,0476383701957
8,52511073411259
59,6836383235503
8,28632430349387
40,4430879636035
26,2469968870691
127,530085105297
91,5432806719832
129,988270034933
110,883666535463
76,1178730959445
28,7998738099205
103,267320308003
123,880382206508
65,1078893962972
72,7882124917971
34,3282519643182
98,7255319772202
132,66288847948
147,85481957296
83,7733579525961
147,136192905387
132,578323004502
27,3409466690836
71,9324680664869
128,967558296809
65,6960487922752
29,0349717883788
43,0178274733752
7,46558301878701
23,5597297594286
99,6834121575273
131,656870258065
115,431031675109
42,9027484792131
10,9078219216223
57,5666788360684
83,9790166580066
68,2116133188523
74,2448375232365
142,168955891474
20,0398747218497
23,6038708422611
92,1940554167515
63,7397788681092
12,7331707075308
52,1540975139512
125,410950592609
57,1475679053393
69,3302164900758
102,559484343263
54,5400742170841
139,92230126356
9,96165286139147
52,2295166904398
23,5981618894502
101,051188645554
134,236705792926
29,3573055765771
89,8653072525715
140,953494315865
93,3375929577737
44,7770491733754
106,497672080562
137,760127635058
23,3479292041155
66,9507228428496
97,4766654495002
94,8702875015861
57,8343997099152
109,444900463376
119,610134586077
145,48780032736
97,1777606473347
139,895206818659
23,5653118379677
148,884543710011
47,3013804930764
126,415570717344
76,4136029744739
43,806090098851
20,2694402753675
13,5351981224714
150,827687651247
39,6489378196607
80,9059704128663
118,878249985234
146,145729223143
89,452762292886
93,8186451073981
48,6785814775641
9,49600781120143
103,495969858748
114,963612496403
10,9683969444053
27,0294759996623
125,462884832322
88,0809708107563
151,887086487219
48,1924269514805
61,6156785075549
62,7960176302196
17,934827710057
68,5763147638881
116,468556265438
106,109443309759
88,686105659353
5,54217427912189
6,21063671398054
145,584306905945
12,3384639375813
44,2231840718288
85,9259106431947
66,3785823710033
30,8974077857918
146,840450875784
149,231405890166
115,688342034767
25,8642738811161
118,246107741719
121,644456209811
31,7216866981142
147,242719994227
113,277598553335
113,337606523816
143,515856928226
36,4236644216832
125,690326586938
97,4925152197845
31,4976406036859
73,1268967907128
38,7599417504099
86,4426405020805
65,9586262920887
70,7106385697309
72,706419924608
152,096839346801
54,4234649046981
76,6623360789689
76,4077301237555
53,7793511989973
131,445734531548
17,2956392421632
41,2783182474902
118,249068949628
52,4392557291312
21,2427389932568
14,9772174783034
122,229680841918
92,2807474451267
123,942186296203
128,796815918186
142,135097342683
76,3172742692779
113,541746264533
59,7539626983171
92,0013878238943
59,4526595282897
87,965203447458
112,416612942677
98,4206735437582
117,515737701758
109,110084855104
18,7410529811826
61,1911754241576
32,3246302561807
139,376592212349
142,954963047288
57,4583368719854
54,3355101019511
70,3134275443104
51,1813470171655
33,203469666968
121,431691544376
35,4463370522944
6,72222169568996
62,7509271642673
40,3408872353943
111,253891185858
20,7421302696426
47,3127815429031
44,6601070061746
57,1128883042304
92,2591796523046
124,849717660985
122,046164548021
52,5444669248239
37,6681087756589
87,4472636521921
135,750584987897
77,6731639910017
51,5999270972003
21,6012789131346
69,1530604845323
143,392832768198
80,2108804598166
125,922936504021
16,5735022269226
5,92755642584801
16,6162386111463
44,9999337710144
21,0058094730262
